learning_rate,batch_size,l2,epochs_run,fit_seconds,predict_seconds,accuracy,precision_macro,recall_macro,f1_macro
0.01,2048,0.0001,22,12.928047180175781,0.09249448776245117,0.8904822493326348,0.5117151426406561,0.42394787957334706,0.4304280417125835
0.01,8192,0.0001,30,8.230132818222046,0.08162045478820801,0.8870743207843724,0.4089616385604298,0.3602608462868281,0.33977178710002715
0.001,2048,0.0001,30,19.620094776153564,0.08227753639221191,0.8792605343911384,0.3990497786071728,0.3458723223904571,0.3282920816807483
0.001,2048,1e-05,16,9.114185810089111,0.08794260025024414,0.8239004066561884,0.3014527644445764,0.2356964500926487,0.23644726189219875
0.01,2048,1e-05,5,3.3380017280578613,0.0841059684753418,0.8184267644637377,0.27712540509288724,0.21646426671592522,0.22874817652607057
0.01,2048,0.0,5,4.190001964569092,0.09110116958618164,0.8189207394656088,0.27921536431746385,0.2165379318850272,0.2283744852739866
0.001,8192,0.0001,30,11.28141713142395,0.08824968338012695,0.8344734675548238,0.23177740868503846,0.21194376340598517,0.2008871869620232
0.01,8192,1e-05,9,5.642281532287598,0.08296537399291992,0.8169947359229599,0.25956747991067114,0.20424807269409226,0.19860103532945486
0.001,2048,0.0,15,8.5427565574646,0.08178853988647461,0.8159868273332834,0.25484617689972894,0.20438378180722838,0.19823012653484945
0.01,8192,0.0,8,2.436569929122925,0.08695697784423828,0.8177581518349425,0.25215208882562806,0.20290516878100937,0.196204414881047
0.001,8192,0.0,30,8.175366163253784,0.0808110237121582,0.828934959958087,0.24426273952959704,0.1786873026579073,0.1641990777714213
0.001,8192,1e-05,30,8.623125791549683,0.09768128395080566,0.8302671955691939,0.24413151667778055,0.17875899914872262,0.1641791142169415
