model,noise,error_rate,attack_to_benign,attack_to_attack,benign_to_attack
KNN,gaussian,0.18460058409913566,0.6156165008314933,0.11015756658898647,0.2742259325795202
KNN,uniform,0.206234018512729,0.6225148418733742,0.10490995307852191,0.27257520504810384
KNN,multiplicative,0.1637361605004628,0.6526895980887346,0.12224761797266664,0.22506278393859872
KNN,missing,0.16922498802591637,1.0,0.0,0.0
SVM,gaussian,0.17114392155473657,0.9781781205287644,0.011257390193202372,0.010564489278033242
SVM,uniform,0.1702953401948811,0.9845053778999663,0.007994501519317031,0.0075001205807167315
SVM,multiplicative,0.16690512162229454,0.6029514892779371,0.20878188014419113,0.18826663057787182
SVM,missing,0.16922498802591637,1.0,0.0,0.0
Random Forest,gaussian,0.16950990191261922,0.999987886056245,9.08545781621936e-06,3.0284859387397866e-06
Random Forest,uniform,0.16910640224604548,0.9999878571515306,1.2142848469393951e-05,0.0
Random Forest,multiplicative,0.16915619800642417,0.999845224257911,0.00012746237583798926,2.7313366250997698e-05
Random Forest,missing,0.16922498802591637,1.0,0.0,0.0
Softmax,gaussian,0.49248058350364,0.11168616462930939,0.1292317250250435,0.7590821103456471
Softmax,uniform,0.4955915351314223,0.11007353497184043,0.12868153939699045,0.7612449256311691
Softmax,multiplicative,0.1997230945036261,0.4132840854178876,0.09664260818605225,0.49007330639606017
Softmax,missing,0.16922498802591637,1.0,0.0,0.0
XGBoost,gaussian,0.19916456061401766,0.7880524997164685,0.05874771886051283,0.15319978142301863
XGBoost,uniform,0.19905880879300725,0.7856575492962106,0.059722816808421744,0.15461963389536773
XGBoost,multiplicative,0.17014441283868176,0.9045933730395795,0.07101564715750346,0.02439097980291702
XGBoost,missing,0.16922498802591637,1.0,0.0,0.0
