model,noise,intensity,scenario,population,accuracy,precision_macro,recall_macro,f1_macro,rows
KNN,gaussian,0.1,gaussian-10,intact,0.9214464681061941,0.6276224044087162,0.6617807391639078,0.5525841156769135,2921931
KNN,gaussian,0.1,gaussian-10,corrupted,0.9215217009637686,0.6410250448163356,0.6536752183515873,0.562953218312143,324663
SVM,gaussian,0.1,gaussian-10,intact,0.9162475089247487,0.608856679725024,0.3553104141263969,0.3866969332135489,2921931
SVM,gaussian,0.1,gaussian-10,corrupted,0.828954947129793,0.2106198158791647,0.06720620034920256,0.06177805712327856,324663
Random Forest,gaussian,0.1,gaussian-10,intact,0.8310463183422195,0.29176486121005124,0.09836249436854955,0.10149491098711058,2921931
Random Forest,gaussian,0.1,gaussian-10,corrupted,0.8306028096826555,0.09981823663871596,0.07027002304995371,0.0671643076840242,324663
Softmax,gaussian,0.1,gaussian-10,intact,0.888875883790548,0.46864854702248404,0.42425820721096674,0.38583596723383684,2921931
Softmax,gaussian,0.1,gaussian-10,corrupted,0.5076864317769503,0.24206986616557782,0.2984384411412692,0.2170259192416179,324663
XGBoost,gaussian,0.1,gaussian-10,intact,0.8454498069940735,0.4532619856109373,0.2382305180700685,0.25992775606882385,2921931
XGBoost,gaussian,0.1,gaussian-10,corrupted,0.8007410761312499,0.2510405593065268,0.12214002470306282,0.08828102209335299,324663
KNN,gaussian,0.2,gaussian-20,intact,0.9003270351915124,0.7015545164631892,0.7112999362590878,0.6081839543684553,2597274
KNN,gaussian,0.2,gaussian-20,corrupted,0.7940537793383847,0.29150360469251435,0.28852846418051553,0.18100934871109955,649320
SVM,gaussian,0.2,gaussian-20,intact,0.9163087914482646,0.610339446814513,0.3557762362029807,0.387211177921367,2597274
SVM,gaussian,0.2,gaussian-20,corrupted,0.828783958602846,0.14582402430534683,0.0673502397184054,0.06202575251117208,649320
Random Forest,gaussian,0.2,gaussian-20,intact,0.8311183186679573,0.2929693329106627,0.09952233430159389,0.10284766513251253,2597274
Random Forest,gaussian,0.2,gaussian-20,corrupted,0.8303994948561572,0.08869336750251804,0.0676056338028169,0.06231601490506559,649320
Softmax,gaussian,0.2,gaussian-20,intact,0.8889262357379314,0.471054042482738,0.4263066106891372,0.38683438809761905,2597274
Softmax,gaussian,0.2,gaussian-20,corrupted,0.5065068071212961,0.22569517997773253,0.26614564443026684,0.20009735445441523,649320
XGBoost,gaussian,0.2,gaussian-20,intact,0.8454737544055806,0.4568729095787437,0.2390378301559895,0.26099896504878806,2597274
XGBoost,gaussian,0.2,gaussian-20,corrupted,0.8007592558368755,0.24111829602058474,0.12257057997451407,0.08805701558590989,649320
KNN,gaussian,0.3,gaussian-30,intact,0.9003845781520888,0.7119239389201976,0.7103450298601779,0.6107412901293311,2272620
KNN,gaussian,0.3,gaussian-30,corrupted,0.7942552881288413,0.32439221371594146,0.3111829773138667,0.18081523606313665,973974
SVM,gaussian,0.3,gaussian-30,intact,0.9163379711522384,0.6111416706609573,0.35594575011116186,0.3875221430777838,2272620
SVM,gaussian,0.3,gaussian-30,corrupted,0.8288712019006668,0.12103976109766101,0.06719811200953603,0.061756559358404066,973974
Random Forest,gaussian,0.3,gaussian-30,intact,0.8311222289692074,0.2947634307588805,0.09792024940525318,0.10218696955889674,2272620
Random Forest,gaussian,0.3,gaussian-30,corrupted,0.8305129295032516,0.172034194141902,0.06892568849718687,0.06481873644801638,973974
Softmax,gaussian,0.3,gaussian-30,intact,0.888878035043254,0.47850731574156674,0.4194382835694702,0.384738760514711,2272620
Softmax,gaussian,0.3,gaussian-30,corrupted,0.5081388209541527,0.2176612066002116,0.3064575634402712,0.20018868273008233,973974
XGBoost,gaussian,0.3,gaussian-30,intact,0.8455153083225528,0.44736266271278846,0.23324139667066174,0.2560959173040981,2272620
XGBoost,gaussian,0.3,gaussian-30,corrupted,0.8009176836342654,0.23940700727638262,0.1286030975329276,0.0877857013388313,973974
KNN,uniform,0.1,uniform-10,intact,0.900165678108073,0.7039781260114002,0.7131152950027981,0.6137272344921657,2921931
KNN,uniform,0.1,uniform-10,corrupted,0.7944299165596326,0.2931586768932781,0.28707519619778915,0.18095612555323318,324663
SVM,uniform,0.1,uniform-10,intact,0.9162403218967183,0.6045060658990175,0.3553565881450389,0.3865476509710207,2921931
SVM,uniform,0.1,uniform-10,corrupted,0.8301623529629185,0.08435654102762886,0.06703247353037738,0.061389383644024374,324663
Random Forest,uniform,0.1,uniform-10,intact,0.8309758170196353,0.29489070127172196,0.0996704318790909,0.10351051268691304,2921931
Random Forest,uniform,0.1,uniform-10,corrupted,0.8312650348207218,0.09541790643282058,0.07179487179487179,0.06961497043174183,324663
Softmax,uniform,0.1,uniform-10,intact,0.8888303659463553,0.4740840044401207,0.42677810694587126,0.38941388854337605,2921931
Softmax,uniform,0.1,uniform-10,corrupted,0.5046925581295066,0.2183894814283675,0.2626219023544178,0.2036495120785842,324663
XGBoost,uniform,0.1,uniform-10,intact,0.8453697229674486,0.45882325045818284,0.24154420333481572,0.2653236060367547,2921931
XGBoost,uniform,0.1,uniform-10,corrupted,0.8007071948451163,0.2582416860218903,0.12339508222199054,0.08692883634557953,324663
KNN,uniform,0.2,uniform-20,intact,0.9004590967298791,0.6987126625486718,0.7148045722796514,0.6111427068164786,2597274
KNN,uniform,0.2,uniform-20,corrupted,0.7933853877903037,0.2895546743949152,0.3018883439326681,0.1777674377599426,649320
