model,noise_type,intensity,scenario,accuracy,precision_macro,recall_macro,f1_macro,rows,scored_at,noise
KNN,clean,0.0,clean,0.9800344607302299,0.7610286916003665,0.8447305086424346,0.7489596411632741,3246594,2026-09-18 20:15:06,
SVM,clean,0.0,clean,0.9792360855715251,0.7352116236916857,0.7860736357948533,0.7008783006195285,3246594,2026-09-18 20:15:07,
Random Forest,,0.0,clean,0.9836055878868747,0.7759587743085421,0.8624372503341478,0.7824626999297651,3246594,2026-09-23 19:26:32,clean
Softmax,,0.0,clean,0.9633009239837196,0.659458025286796,0.6814533024147245,0.6327953259715263,3246594,2026-09-23 19:26:32,clean
XGBoost,,0.0,clean,0.98391853123612,0.7814237003151726,0.8684786577945719,0.7806304394622512,3246594,2026-09-23 19:26:33,clean
KNN,,0.1,gaussian-10,0.9214539914753739,0.6288039015755083,0.66065464670725,0.5535822472530568,3246594,2026-09-23 18:31:41,gaussian
SVM,,0.1,gaussian-10,0.9075181559505131,0.5763757342784726,0.3264851737468283,0.36610782757364074,3246594,2026-09-23 18:31:42,gaussian
Random Forest,,0.1,gaussian-10,0.8310019669844767,0.291870827458807,0.09539467073074662,0.09882862494164699,3246594,2026-09-23 18:31:44,gaussian
Softmax,,0.1,gaussian-10,0.8507565159055921,0.36868884361559456,0.4122304146547015,0.35650154379309523,3246594,2026-09-23 18:31:45,gaussian
XGBoost,,0.1,gaussian-10,0.8409788843323187,0.4662789402937321,0.2264180063796718,0.23518675948340842,3246594,2026-09-23 18:31:46,gaussian
KNN,,0.2,gaussian-20,0.8790723447403648,0.5090758269867908,0.6215657704567037,0.4430481392186605,3246594,2026-09-23 18:31:53,gaussian
SVM,,0.2,gaussian-20,0.8988037925284159,0.5662082817239155,0.2980108376545865,0.3444728560863709,3246594,2026-09-23 18:31:54,gaussian
Random Forest,,0.2,gaussian-20,0.8309745536399069,0.29291764702409345,0.0929865159821658,0.09679889714081841,3246594,2026-09-23 18:31:55,gaussian
Softmax,,0.2,gaussian-20,0.8124422086654506,0.3304706826183371,0.3947978389384312,0.33193546842902083,3246594,2026-09-23 18:31:56,gaussian
XGBoost,,0.2,gaussian-20,0.8365308381645503,0.43899179076543227,0.21502364627719983,0.21447868483795116,3246594,2026-09-23 18:31:57,gaussian
KNN,,0.3,gaussian-30,0.8685459284406981,0.5139071449207627,0.5862475963740335,0.41153819743133657,3246594,2026-09-23 18:32:02,gaussian
SVM,,0.3,gaussian-30,0.8900980535293295,0.5612687249889121,0.269367804789694,0.32085248379276377,3246594,2026-09-23 18:32:02,gaussian
Random Forest,,0.3,gaussian-30,0.8309394399176491,0.361668965901204,0.09023171783276546,0.09436947491273417,3246594,2026-09-23 18:32:04,gaussian
Softmax,,0.3,gaussian-30,0.7746567633649295,0.3064185227659232,0.3882540322333961,0.31251768678642466,3246594,2026-09-23 18:32:05,gaussian
XGBoost,,0.3,gaussian-30,0.8321360786103836,0.4206318278384483,0.20232234729629878,0.19596737132977357,3246594,2026-09-23 18:32:05,gaussian
KNN,,0.1,uniform-10,0.889591984707666,0.5445781526019855,0.6749275472295745,0.48249820966425927,3246594,2026-09-23 18:32:10,uniform
SVM,,0.1,uniform-10,0.9076324295554048,0.5797966412068256,0.3266603600792305,0.366377457646888,3246594,2026-09-23 18:32:10,uniform
Random Forest,,0.1,uniform-10,0.8310047391204444,0.29490457163793227,0.09661813689662804,0.10072313771002576,3246594,2026-09-23 18:32:12,uniform
Softmax,,0.1,uniform-10,0.850416159211777,0.3683910946657351,0.4108565509910148,0.35609161766234804,3246594,2026-09-23 18:32:13,uniform
XGBoost,,0.1,uniform-10,0.8409034206309751,0.47211584875039786,0.23042413832556222,0.23781011281810324,3246594,2026-09-23 18:32:14,uniform
KNN,,0.2,uniform-20,0.87904431536558,0.510147730138762,0.6322220796291372,0.44358052850204555,3246594,2026-09-23 18:32:18,uniform
SVM,,0.2,uniform-20,0.8989011253023939,0.5704702696380105,0.2972934387442415,0.34434489320239287,3246594,2026-09-23 18:32:18,uniform
Random Forest,,0.2,uniform-20,0.8309764017305521,0.2937616424885772,0.0949251738531776,0.09856987686501344,3246594,2026-09-23 18:32:20,uniform
Softmax,,0.2,uniform-20,0.8119657092941095,0.3306003235139746,0.3997693564006162,0.33246673773865454,3246594,2026-09-23 18:32:21,uniform
XGBoost,,0.2,uniform-20,0.8365203656508945,0.4313985347467922,0.21651238054348051,0.21749671222043493,3246594,2026-09-23 18:32:22,uniform
KNN,,0.3,uniform-30,0.8683869926452152,0.4871126782046181,0.5843724218517725,0.41180543179369167,3246594,2026-09-23 18:32:28,uniform
SVM,,0.3,uniform-30,0.8902656137478231,0.5645992698580666,0.2691223229845036,0.32125293348637773,3246594,2026-09-23 18:32:29,uniform
Random Forest,,0.3,uniform-30,0.8309360517514663,0.29492916915118256,0.09037707810466528,0.09444014283702377,3246594,2026-09-23 18:32:30,uniform
Softmax,,0.3,uniform-30,0.7734327113276251,0.30739006450659284,0.3787456750321017,0.3122702246039758,3246594,2026-09-23 18:32:31,uniform
XGBoost,,0.3,uniform-30,0.83206061490904,0.4412597933067274,0.20689167475565334,0.19923951429260445,3246594,2026-09-23 18:32:32,uniform
KNN,,0.1,multiplicative-10,0.8940126175308647,0.5770914949822814,0.6744510424073967,0.5232581284266853,3246594,2026-09-23 18:32:36,multiplicative
SVM,,0.1,multiplicative-10,0.9079977354729295,0.535919876548696,0.3384052780140665,0.35420754313507563,3246594,2026-09-23 18:32:36,multiplicative
Random Forest,,0.1,multiplicative-10,0.8310112074377024,0.36012157188244204,0.09913013394027298,0.1021776021383219,3246594,2026-09-23 18:32:38,multiplicative
Softmax,,0.1,multiplicative-10,0.8800003942593376,0.41579675742210387,0.41682114487014665,0.37294567770491377,3246594,2026-09-23 18:32:39,multiplicative
XGBoost,,0.1,multiplicative-10,0.8438458889531614,0.5565659634645849,0.23268906571259865,0.24805926762755603,3246594,2026-09-23 18:32:39,multiplicative
KNN,,0.2,multiplicative-20,0.8872846435371962,0.552084917956749,0.6254279638021639,0.49111921523396435,3246594,2026-09-23 18:32:43,multiplicative
SVM,,0.2,multiplicative-20,0.8995759864029811,0.5071789903939858,0.3204141929100909,0.327215555465156,3246594,2026-09-23 18:32:44,multiplicative
Random Forest,,0.2,multiplicative-20,0.8309942666067885,0.42889573016443444,0.09924986860075123,0.10250435121342857,3246594,2026-09-23 18:32:45,multiplicative
Softmax,,0.2,multiplicative-20,0.871285722822133,0.39669769778206665,0.40572277635409376,0.3618570871401384,3246594,2026-09-23 18:32:46,multiplicative
XGBoost,,0.2,multiplicative-20,0.8423162859291923,0.5473646794225375,0.22040911877896535,0.23168166377995417,3246594,2026-09-23 18:32:47,multiplicative
KNN,,0.3,multiplicative-30,0.8809906628300305,0.534843494359283,0.6047669282910416,0.4694005202025515,3246594,2026-09-23 18:32:51,multiplicative
SVM,,0.3,multiplicative-30,0.8912614265904514,0.48207292269246776,0.30354347733935355,0.303786852188067,3246594,2026-09-23 18:32:51,multiplicative
Random Forest,,0.3,multiplicative-30,0.8309548406730254,0.49575132948032785,0.100381861287032,0.10256032078106522,3246594,2026-09-23 18:32:53,multiplicative
Softmax,,0.3,multiplicative-30,0.8622306946911132,0.382343687546775,0.4005072137980685,0.35250739881230564,3246594,2026-09-23 18:32:54,multiplicative
XGBoost,,0.3,multiplicative-30,0.8407333962916214,0.5286078529059753,0.217646773545579,0.22330219835892134,3246594,2026-09-23 18:32:55,multiplicative
KNN,,0.1,missing-10,0.8933550052762987,0.6993160315050196,0.6493153427056118,0.5789646061475409,3246594,2026-09-23 18:33:03,missing
SVM,,0.1,missing-10,0.9077833569580921,0.6048987242551902,0.32696358522485325,0.3673226652645119,3246594,2026-09-23 18:33:03,missing
Random Forest,,0.1,missing-10,0.8310019669844767,0.2925369071698112,0.09542349813395258,0.0990798367795114,3246594,2026-09-23 18:33:05,missing
Softmax,,0.1,missing-10,0.8830891697575983,0.47299791802099606,0.3924474875007522,0.3714498363232553,3246594,2026-09-23 18:33:06,missing
XGBoost,,0.1,missing-10,0.8439370614249888,0.45928166929150965,0.22573685425808548,0.2526934163845064,3246594,2026-09-23 18:33:06,missing
KNN,,0.2,missing-20,0.8863439653988149,0.6990971323992065,0.5755871645540087,0.5515964855871597,3246594,2026-09-23 18:33:10,missing
SVM,,0.2,missing-20,0.8991321366330376,0.6079482023742425,0.2976872467658346,0.3456782938257128,3246594,2026-09-23 18:33:10,missing
Random Forest,,0.2,missing-20,0.8309730135643693,0.29326073546616166,0.0939649055115795,0.09768316127430271,3246594,2026-09-23 18:33:12,missing
Softmax,,0.2,missing-20,0.8771811319801613,0.4683712306144443,0.35621725085624323,0.3510031499607472,3246594,2026-09-23 18:33:13,missing
XGBoost,,0.2,missing-20,0.8425131075829008,0.4632946784657665,0.2100856374651707,0.2404011454793886,3246594,2026-09-23 18:33:14,missing
KNN,,0.3,missing-30,0.8794170136456853,0.6964158613730826,0.5122551669389871,0.5136027623465846,3246594,2026-09-23 18:55:15,missing
SVM,,0.3,missing-30,0.8905914937315845,0.6061679777347562,0.26870503902188597,0.32165138820906214,3246594,2026-09-23 18:57:49,missing
Random Forest,,0.3,missing-30,0.8309412880082943,0.2924733808521112,0.08993071480906914,0.09361146524614002,3246594,2026-09-23 19:26:04,missing
Softmax,,0.3,missing-30,0.8713932200946592,0.4673779792514326,0.3181726669986555,0.3265295948128457,3246594,2026-09-23 19:26:23,missing
XGBoost,,0.3,missing-30,0.8409785763172112,0.45953179576446634,0.18716887934201012,0.21956802121577396,3246594,2026-09-23 19:26:29,missing
